T1_OFF_SHIELD	0	0.167	0	0
T2_OFF_SHIELD	0	0.167	0	140
T3_OFF_SHIELD	0	0.25	0	245
T4_OFF_SHIELD	0	0.333	0	429
T4_OFF_SHIELD	1	0.5	0	750
T4_OFF_SHIELD	2	0.667	0	1313
T4_OFF_SHIELD	3	0.833	0	2298
T4_OFF_SHIELD	4	1.25	0	4021
T5_OFF_SHIELD	0	0.5	0	750
T5_OFF_SHIELD	1	0.667	0	1313
T5_OFF_SHIELD	2	0.833	0	2298
T5_OFF_SHIELD	3	1.25	0	4021
T5_OFF_SHIELD	4	1.5	0	7037
T6_OFF_SHIELD	0	0.667	0	1313
T6_OFF_SHIELD	1	0.833	0	2298
T6_OFF_SHIELD	2	1.25	0	4021
T6_OFF_SHIELD	3	1.5	0	7037
T6_OFF_SHIELD	4	1.8	0	12315
T7_OFF_SHIELD	0	0.833	0	2298
T7_OFF_SHIELD	1	1.25	0	4021
T7_OFF_SHIELD	2	1.5	0	7037
T7_OFF_SHIELD	3	1.8	0	12315
T7_OFF_SHIELD	4	2.16	0	21551
T8_OFF_SHIELD	0	1.25	0	4021
T8_OFF_SHIELD	1	1.5	0	7037
T8_OFF_SHIELD	2	1.8	0	12315
T8_OFF_SHIELD	3	2.16	0	21551
T8_OFF_SHIELD	4	2.52	0	37715
T4_OFF_TOWERSHIELD_UNDEAD	0	0.333	0	429
T4_OFF_TOWERSHIELD_UNDEAD	1	0.5	0	750
T4_OFF_TOWERSHIELD_UNDEAD	2	0.667	0	1313
T4_OFF_TOWERSHIELD_UNDEAD	3	0.833	0	2298
T4_OFF_TOWERSHIELD_UNDEAD	4	1.25	0	4021
T5_OFF_TOWERSHIELD_UNDEAD	0	0.5	0	750
T5_OFF_TOWERSHIELD_UNDEAD	1	0.667	0	1313
T5_OFF_TOWERSHIELD_UNDEAD	2	0.833	0	2298
T5_OFF_TOWERSHIELD_UNDEAD	3	1.25	0	4021
T5_OFF_TOWERSHIELD_UNDEAD	4	1.5	0	7037
T6_OFF_TOWERSHIELD_UNDEAD	0	0.667	0	1313
T6_OFF_TOWERSHIELD_UNDEAD	1	0.833	0	2298
T6_OFF_TOWERSHIELD_UNDEAD	2	1.25	0	4021
T6_OFF_TOWERSHIELD_UNDEAD	3	1.5	0	7037
